"Time,Open,High,Low,Last,Change,%Chg,Volume,""Open Int"""
02/22/2021 14:58,87.55,87.55,87.55,87.55,-0.03,-0.03%,32,N/A
02/22/2021 14:56,87.57,87.58,87.57,87.58,0.01,+0.01%,6,N/A
02/22/2021 14:54,87.52,87.57,87.52,87.57,0.07,+0.08%,6,N/A
02/22/2021 14:52,87.5,87.5,87.47,87.5,0,0.00%,5,N/A
02/22/2021 14:50,87.5,87.52,87.5,87.5,0.02,+0.02%,14,N/A
02/22/2021 14:48,87.49,87.5,87.48,87.48,0.04,+0.05%,4,N/A
02/22/2021 14:46,87.5,87.5,87.44,87.44,-0.06,-0.07%,11,N/A
02/22/2021 14:44,87.47,87.5,87.47,87.5,0.07,+0.08%,3,N/A
02/22/2021 14:40,87.43,87.43,87.43,87.43,0,0.00%,4,N/A
02/22/2021 14:36,87.48,87.5,87.43,87.43,-0.05,-0.06%,5,N/A
02/22/2021 14:32,87.45,87.48,87.45,87.48,0.08,+0.09%,9,N/A
02/22/2021 14:30,87.38,87.4,87.38,87.4,-0.1,-0.11%,10,N/A
02/22/2021 14:28,87.37,87.5,87.37,87.5,0.2,+0.23%,40,N/A
02/22/2021 14:26,87.27,87.3,87.27,87.3,0.03,+0.03%,18,N/A
02/22/2021 14:24,87.3,87.3,87.27,87.27,-0.03,-0.03%,3,N/A
02/22/2021 14:22,87.3,87.3,87.3,87.3,0,0.00%,4,N/A
02/22/2021 14:20,87.3,87.3,87.3,87.3,0.02,+0.02%,5,N/A
02/22/2021 14:18,87.28,87.28,87.28,87.28,-0.01,-0.01%,2,N/A
02/22/2021 14:16,87.28,87.29,87.23,87.29,0.04,+0.05%,7,N/A
02/22/2021 14:14,87.25,87.25,87.25,87.25,0,0.00%,1,N/A
02/22/2021 14:12,87.36,87.36,87.25,87.25,-0.18,-0.21%,22,N/A
02/22/2021 14:08,87.46,87.53,87.42,87.43,-0.01,-0.01%,12,N/A
02/22/2021 14:06,87.37,87.44,87.34,87.44,-0.14,-0.16%,9,N/A
02/22/2021 14:04,87.3,87.58,87.3,87.58,0.28,+0.32%,17,N/A
02/22/2021 13:18,87.18,87.3,87.15,87.3,0.12,+0.14%,89,N/A
02/22/2021 13:16,87.1,87.18,87.1,87.18,0.07,+0.08%,9,N/A
02/22/2021 13:14,87.14,87.18,87.11,87.11,0.01,+0.01%,9,N/A
02/22/2021 13:12,87.1,87.1,87.1,87.1,-0.01,-0.01%,4,N/A
02/22/2021 13:10,87.08,87.14,87.08,87.11,0.07,+0.08%,9,N/A
02/22/2021 13:08,87.12,87.12,87.04,87.04,-0.04,-0.05%,7,N/A
02/22/2021 13:06,87.14,87.14,87.08,87.08,-0.12,-0.14%,4,N/A
02/22/2021 13:04,87.2,87.2,87.2,87.2,0,0.00%,6,N/A
02/22/2021 13:02,87.12,87.2,87.12,87.2,0.09,+0.10%,16,N/A
02/22/2021 13:00,87,87.16,86.98,87.11,0.11,+0.13%,121,N/A
02/22/2021 12:58,86.89,87,86.89,87,0.1,+0.12%,43,N/A
02/22/2021 12:56,86.87,86.9,86.87,86.9,0.02,+0.02%,11,N/A
02/22/2021 12:54,86.88,86.88,86.88,86.88,0,0.00%,1,N/A
02/22/2021 12:52,86.85,86.88,86.85,86.88,0.01,+0.01%,3,N/A
02/22/2021 12:50,86.85,86.89,86.85,86.87,-0.01,-0.01%,11,N/A
02/22/2021 12:48,86.88,86.89,86.88,86.88,0.03,+0.03%,6,N/A
02/22/2021 12:44,86.84,86.85,86.84,86.85,0.04,+0.05%,5,N/A
02/22/2021 12:42,86.85,86.95,86.81,86.81,-0.04,-0.05%,95,N/A
02/22/2021 12:40,86.8,86.87,86.8,86.85,0.05,+0.06%,22,N/A
02/22/2021 12:38,86.8,86.8,86.8,86.8,0.03,+0.03%,1,N/A
02/22/2021 12:36,86.77,86.77,86.75,86.77,0.02,+0.02%,4,N/A
02/22/2021 12:34,86.71,86.75,86.71,86.75,0.04,+0.05%,8,N/A
02/22/2021 12:32,86.71,86.71,86.71,86.71,0,0.00%,2,N/A
02/22/2021 12:30,86.72,86.72,86.69,86.71,-0.04,-0.05%,11,N/A
02/22/2021 12:28,86.76,86.77,86.75,86.75,-0.05,-0.06%,5,N/A
02/22/2021 12:24,86.8,86.8,86.8,86.8,-0.03,-0.03%,21,N/A
02/22/2021 12:22,86.83,86.83,86.83,86.83,0.03,+0.03%,1,N/A
02/22/2021 12:20,86.8,86.8,86.8,86.8,0,0.00%,1,N/A
02/22/2021 12:16,86.8,86.8,86.8,86.8,-0.04,-0.05%,1,N/A
